id_A,id_B,certificate_score,evidence_count,witness_path,region_size
34349,208294712,7.772807,4,strong_rescue::block_id|digit_signature|model_code|rare_token,1
34349,207919773,7.521602,4,strong_rescue::block_id|long_pair|model_code|token_skeleton,1
34303,209208661,7.520433,4,strong_rescue::block_id|long_pair|model_code|token_skeleton,1
36471,209306028,7.518384,4,strong_rescue::block_id|long_pair|model_code|token_skeleton,1
36471,207927557,7.508101,4,strong_rescue::block_id|long_pair|model_code|token_skeleton,1
38098,209026638,7.369331,4,strong_rescue::block_id|model_code|rare_token|token_skeleton,1
34895,208504369,7.174833,4,strong_rescue::block_id|digit_signature|field_presence|model_code,1
37182,207534895,7.158342,4,strong_rescue::block_id|digit_signature|field_presence|model_code,1
35226,207388754,7.138857,4,strong_rescue::block_id|digit_signature|field_presence|model_code,1
29816,208111903,7.126891,4,strong_rescue::block_id|digit_signature|field_presence|model_code,1
34150,204327516,7.120042,4,strong_rescue::block_id|digit_signature|field_presence|model_code,1
29816,204327516,7.11811,4,strong_rescue::block_id|digit_signature|field_presence|model_code,1
34150,206460121,7.1,4,strong_rescue::block_id|digit_signature|field_presence|model_code,1
35247,208710844,7.03412,3,strong_rescue::block_id|digit_signature|model_code,1
35247,207959798,7.034051,3,strong_rescue::block_id|digit_signature|model_code,1
38098,207938488,7.022442,3,strong_rescue::block_id|digit_signature|model_code,1
34895,207642166,7.016049,3,strong_rescue::block_id|digit_signature|model_code,1
34897,207642166,7.014959,3,strong_rescue::block_id|digit_signature|model_code,1
34091,208294698,7.012567,3,strong_rescue::block_id|digit_signature|model_code,1
35201,207660497,7.011822,3,strong_rescue::block_id|digit_signature|model_code,1
35201,207637777,7.011724,3,strong_rescue::block_id|digit_signature|model_code,1
34897,209208655,7.007948,3,strong_rescue::block_id|digit_signature|model_code,1
37182,206870284,7.007814,3,strong_rescue::block_id|digit_signature|model_code,1
34000,207986331,7.006808,3,strong_rescue::block_id|digit_signature|model_code,1
35226,210227285,7.005137,3,strong_rescue::block_id|digit_signature|model_code,1
34266,207388757,7.003673,3,strong_rescue::block_id|digit_signature|model_code,1
34091,207506250,7.000836,3,strong_rescue::block_id|digit_signature|model_code,1
34000,209869989,6.998748,3,strong_rescue::block_id|digit_signature|model_code,1
34002,209869989,6.996815,3,strong_rescue::block_id|digit_signature|model_code,1
28138,207514563,6.97138,3,strong_rescue::block_id|digit_signature|model_code,1
34002,207986331,6.967865,3,strong_rescue::block_id|digit_signature|model_code,1
37495,208043057,6.951175,5,strong_rescue::anchor_bigram|block_id|long_pair|title_prefix3|token_skeleton,1
37496,208043057,6.951146,5,strong_rescue::anchor_bigram|block_id|long_pair|title_prefix3|token_skeleton,1
37558,208043057,6.950592,5,strong_rescue::anchor_bigram|block_id|long_pair|title_prefix3|token_skeleton,1
37499,205690063,6.95009,5,strong_rescue::anchor_bigram|block_id|long_pair|title_prefix3|token_skeleton,1
37499,206746475,6.947185,5,strong_rescue::anchor_bigram|block_id|long_pair|title_prefix3|token_skeleton,1
35185,208111904,6.809703,4,strong_rescue::block_id|field_presence|model_code|token_skeleton,1
34904,207390618,6.806982,4,strong_rescue::block_id|digit_signature|prefix_pair|token_skeleton,1
35045,207660499,6.756601,4,strong_rescue::block_id|field_presence|model_code|token_skeleton,1
35045,207653548,6.752441,4,strong_rescue::block_id|field_presence|model_code|token_skeleton,1
26346,202899998,6.727454,4,strong_rescue::block_id|field_presence|model_code|token_skeleton,1
35277,207388754,6.72379,4,strong_rescue::block_id|field_presence|model_code|token_skeleton,1
34496,208111904,6.665834,3,strong_rescue::block_id|model_code|token_skeleton,1
28138,208111903,6.662954,3,strong_rescue::digit_signature|field_presence|model_code,1
35872,208111903,6.656531,3,strong_rescue::digit_signature|field_presence|model_code,1
35872,206460121,6.651732,3,strong_rescue::digit_signature|field_presence|model_code,1
36808,208111904,6.642919,3,strong_rescue::block_id|model_code|token_skeleton,1
33278,207534895,6.624223,3,strong_rescue::block_id|model_code|token_skeleton,1
35388,208079230,6.613708,3,strong_rescue::block_id|model_code|token_skeleton,1
35277,208079230,6.610167,3,strong_rescue::block_id|model_code|token_skeleton,1
34266,207660499,6.608111,3,strong_rescue::block_id|model_code|token_skeleton,1
33278,209656971,6.601268,3,strong_rescue::block_id|model_code|token_skeleton,1
34496,207642166,6.598604,3,strong_rescue::block_id|model_code|token_skeleton,1
37907,206928608,6.590215,3,strong_rescue::block_id|model_code|token_skeleton,1
34969,207388752,6.503945,4,strong_rescue::block_id|field_presence|model_code|rare_token,1
31596,204587803,6.451475,4,strong_rescue::block_id|digit_signature|long_pair|rare_token,1
24615,204587803,6.444048,4,strong_rescue::block_id|digit_signature|long_pair|rare_token,1
34969,207506250,6.375607,3,strong_rescue::block_id|model_code|rare_token,1
26346,208111280,6.358655,3,strong_rescue::block_id|model_code|prefix_pair,1
33498,206928384,6.202796,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
33498,206928388,6.201721,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
33496,206928390,6.187944,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
33496,206928388,6.187398,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
32055,207390682,6.163516,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
34934,208117937,6.162973,4,strong_rescue::anchor_bigram|block_id|title_prefix3|token_skeleton,1
34934,208117938,6.162973,4,strong_rescue::anchor_bigram|block_id|title_prefix3|token_skeleton,1
25550,204736197,6.160815,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
37403,201953029,6.155056,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
37404,201953029,6.153224,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
37110,207643190,6.145099,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
37404,207390673,6.143082,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
13213,208105630,6.14299,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
37120,207643190,6.142771,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
36906,208171630,6.140856,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
36906,208171631,6.140856,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
37110,206928384,6.140108,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
30436,205599984,6.133032,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
37405,201953029,6.1325,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
30436,205599985,6.129686,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
37120,206928384,6.127803,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
21175,10333848,6.126554,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
27137,204736197,6.12511,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
37123,206928388,6.120853,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
37123,207643190,6.117531,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
34941,206179521,6.111157,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
27137,207907430,6.107634,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
13213,208791921,6.10545,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
13580,203459314,6.1,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
34392,203459314,6.1,4,strong_rescue::block_id|digit_signature|field_presence|token_skeleton,1
33377,200924629,6.088512,3,strong_rescue::block_id|digit_signature|token_skeleton,1
33157,206808434,6.086676,3,strong_rescue::block_id|digit_signature|token_skeleton,1
33377,203514371,6.084409,3,strong_rescue::block_id|digit_signature|token_skeleton,1
33563,207388752,6.075822,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
27194,204318288,6.06596,3,strong_rescue::block_id|digit_signature|token_skeleton,1
38777,208930714,6.0641,3,strong_rescue::block_id|digit_signature|token_skeleton,1
34442,208111903,6.057484,3,strong_rescue::block_id|digit_signature|token_skeleton,1
36993,205557530,6.056233,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
33563,207506251,6.047532,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
30734,207907430,6.045968,3,strong_rescue::block_id|digit_signature|token_skeleton,1
25990,208455791,6.045765,3,strong_rescue::block_id|digit_signature|token_skeleton,1
31373,208294904,6.038699,3,strong_rescue::block_id|digit_signature|token_skeleton,1
35680,203921172,6.024404,3,strong_rescue::block_id|digit_signature|token_skeleton,1
36988,206808430,6.017611,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
36990,209253739,6.016036,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
36033,201692695,6.01496,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
36102,201692695,6.007544,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
37403,201692695,6.007347,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
25550,203185276,6.006141,3,strong_rescue::block_id|digit_signature|token_skeleton,1
33508,201692695,6.004703,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
38327,201692695,6.002854,5,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|token_skeleton,1
32022,207895085,6.002609,3,strong_rescue::block_id|digit_signature|token_skeleton,1
30951,204505951,6.002491,3,strong_rescue::block_id|digit_signature|token_skeleton,1
32022,207929461,6.000851,3,strong_rescue::block_id|digit_signature|token_skeleton,1
13581,208410812,5.999103,3,strong_rescue::block_id|digit_signature|token_skeleton,1
38475,203514371,5.997754,3,strong_rescue::block_id|digit_signature|token_skeleton,1
24153,203111424,5.996811,3,strong_rescue::block_id|digit_signature|token_skeleton,1
23635,207390673,5.994208,3,strong_rescue::block_id|digit_signature|token_skeleton,1
23635,207465587,5.993895,3,strong_rescue::block_id|digit_signature|token_skeleton,1
33279,203938179,5.992353,3,strong_rescue::block_id|digit_signature|token_skeleton,1
25990,210521578,5.992288,3,strong_rescue::block_id|digit_signature|token_skeleton,1
16877,204505951,5.991014,3,strong_rescue::block_id|digit_signature|token_skeleton,1
16877,205599984,5.98615,3,strong_rescue::block_id|digit_signature|token_skeleton,1
24572,202537967,5.982511,3,strong_rescue::block_id|digit_signature|token_skeleton,1
33047,208370418,5.981143,3,strong_rescue::block_id|digit_signature|token_skeleton,1
26617,208370418,5.980656,3,strong_rescue::block_id|digit_signature|token_skeleton,1
20534,208370418,5.97675,3,strong_rescue::block_id|digit_signature|token_skeleton,1
29032,206917817,5.975554,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
37150,207907550,5.972963,3,strong_rescue::block_id|digit_signature|token_skeleton,1
35485,207907550,5.971735,3,strong_rescue::block_id|digit_signature|token_skeleton,1
30734,210267015,5.970675,3,strong_rescue::block_id|digit_signature|token_skeleton,1
38777,208370418,5.970401,3,strong_rescue::block_id|digit_signature|token_skeleton,1
36142,207907548,5.968417,3,strong_rescue::block_id|digit_signature|token_skeleton,1
33279,207667995,5.96621,3,strong_rescue::block_id|digit_signature|token_skeleton,1
36705,208294927,5.964512,3,strong_rescue::block_id|digit_signature|token_skeleton,1
32055,209253738,5.962627,3,strong_rescue::block_id|digit_signature|token_skeleton,1
13580,203162678,5.961469,3,strong_rescue::block_id|digit_signature|token_skeleton,1
21175,201700823,5.959581,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
37606,10412788,5.950235,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
34442,208105573,5.95,3,strong_rescue::block_id|digit_signature|token_skeleton,1
37606,204549804,5.949065,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
21875,10221960,5.938203,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
25262,10353206,5.934034,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
27793,204292472,5.933129,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
33671,206917815,5.927461,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
33671,206917817,5.925919,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
27793,206887992,5.925196,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
29032,208930714,5.922962,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
37145,208941074,5.921169,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
37055,208941074,5.92091,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
25262,10388980,5.918658,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
36993,205557539,5.911264,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
37405,208112355,5.910106,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
22042,206481908,5.908465,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
37054,208941075,5.904182,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
31030,206928378,5.896801,4,strong_rescue::anchor_bigram|block_id|long_pair|token_skeleton,1
31337,209310260,5.75,4,strong_rescue::block_id|categorical_value|digit_signature|field_presence,1
32493,209310260,5.75,4,strong_rescue::block_id|categorical_value|digit_signature|field_presence,1
32906,209310260,5.75,4,strong_rescue::block_id|categorical_value|digit_signature|field_presence,1
33047,203185276,5.733401,5,strong_rescue::block_id|field_presence|long_pair|prefix_pair|token_skeleton,1
13581,206888012,5.634803,3,strong_rescue::block_id|categorical_value|digit_signature,1
37558,208294970,5.606897,3,strong_rescue::block_id|categorical_value|digit_signature,1
37495,208294970,5.6,3,strong_rescue::block_id|categorical_value|digit_signature,1
37496,208294970,5.6,3,strong_rescue::block_id|categorical_value|digit_signature,1
33948,10379358,5.5,4,anchor_bigram::panasonic::black | digit_signature::83 | field_presence::description|manufacturer|name | long_pair::black::panasonic,1
37859,206928608,5.348865,3,strong_rescue::block_id|field_presence|model_code,1
37859,206928604,5.344175,3,strong_rescue::block_id|field_presence|model_code,1
35185,209297157,5.319159,3,strong_rescue::block_id|field_presence|model_code,1
36001,206928604,5.312012,3,strong_rescue::block_id|field_presence|model_code,1
34941,209297157,5.311357,3,strong_rescue::block_id|field_presence|model_code,1
34278,209297157,5.311334,3,strong_rescue::block_id|field_presence|model_code,1
34278,208504318,5.311332,3,strong_rescue::block_id|field_presence|model_code,1
36607,207919773,5.309104,3,strong_rescue::block_id|field_presence|model_code,1
36988,207388754,5.306205,3,strong_rescue::block_id|field_presence|model_code,1
36990,207388754,5.306178,3,strong_rescue::block_id|field_presence|model_code,1
33158,207338890,5.3057,3,strong_rescue::block_id|field_presence|model_code,1
33157,207338890,5.305678,3,strong_rescue::block_id|field_presence|model_code,1
36507,206928608,5.304437,3,strong_rescue::block_id|field_presence|model_code,1
36507,206928604,5.304011,3,strong_rescue::block_id|field_presence|model_code,1
36808,206928604,5.302411,3,strong_rescue::block_id|field_presence|model_code,1
36607,208111904,5.302181,3,strong_rescue::block_id|field_presence|model_code,1
33158,207388754,5.302053,3,strong_rescue::block_id|field_presence|model_code,1
36001,206928608,5.3,3,strong_rescue::block_id|field_presence|model_code,1
37360,207642358,5.15,2,strong_rescue::block_id|model_code,1
37360,208742932,5.15,2,strong_rescue::block_id|model_code,1
30951,207654105,5.115207,3,strong_rescue::anchor_bigram|block_id|token_skeleton,1
34309,210256478,5.082434,4,strong_rescue::anchor_bigram|block_id|field_presence|long_pair,1
34723,202070149,4.960275,4,strong_rescue::block_id|field_presence|long_pair|token_skeleton,1
34724,202070149,4.958973,4,strong_rescue::block_id|field_presence|long_pair|token_skeleton,1
34724,203445749,4.955472,4,strong_rescue::block_id|field_presence|long_pair|token_skeleton,1
31030,209208718,4.953456,3,strong_rescue::anchor_bigram|block_id|long_pair,1
33026,202827715,4.953313,4,strong_rescue::block_id|field_presence|long_pair|token_skeleton,1
33723,207390452,4.949928,3,strong_rescue::anchor_bigram|block_id|long_pair,1
34392,210402319,4.947823,3,strong_rescue::anchor_bigram|block_id|long_pair,1
34309,208504421,4.946565,3,strong_rescue::anchor_bigram|block_id|long_pair,1
33723,210402319,4.943074,3,strong_rescue::anchor_bigram|block_id|long_pair,1
35990,207390452,4.937571,3,strong_rescue::anchor_bigram|block_id|long_pair,1
35990,210402319,4.930213,3,strong_rescue::anchor_bigram|block_id|long_pair,1
33026,207899810,4.927802,4,strong_rescue::block_id|field_presence|long_pair|token_skeleton,1
26617,209122918,4.921927,4,strong_rescue::block_id|field_presence|long_pair|token_skeleton,1
35019,208117925,4.860799,3,strong_rescue::block_id|long_pair|token_skeleton,1
35022,208117925,4.858591,3,strong_rescue::block_id|long_pair|token_skeleton,1
38164,210401458,4.841281,4,strong_rescue::block_id|categorical_value|field_presence|token_skeleton,1
34609,207464939,4.816818,4,strong_rescue::block_id|categorical_value|field_presence|token_skeleton,1
8060,90138537,4.816688,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
29806,202900030,4.81569,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
8060,202900030,4.813694,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
29806,202900227,4.809188,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
35024,208117925,4.807933,3,strong_rescue::block_id|long_pair|token_skeleton,1
35552,205106048,4.805717,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
28350,202537962,4.802207,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
36909,203389465,4.798592,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
34723,205769439,4.792633,3,strong_rescue::block_id|long_pair|token_skeleton,1
36909,204443417,4.792102,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
25749,207899810,4.784662,3,strong_rescue::block_id|long_pair|token_skeleton,1
28350,90138537,4.769572,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
37150,207391017,4.766463,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
32878,206928359,4.753299,3,strong_rescue::block_id|rare_token|token_skeleton,1
37142,207390673,4.747083,4,strong_rescue::block_id|field_presence|prefix_pair|token_skeleton,1
37142,209687172,4.741871,4,strong_rescue::block_id|field_presence|prefix_pair|token_skeleton,1
32878,205106048,4.73054,3,strong_rescue::block_id|rare_token|token_skeleton,1
33508,208930717,4.723116,4,strong_rescue::block_id|field_presence|rare_token|token_skeleton,1
34848,208117932,4.720178,3,strong_rescue::block_id|prefix_pair|token_skeleton,1
34848,208117933,4.720178,3,strong_rescue::block_id|prefix_pair|token_skeleton,1
34927,208117932,4.720178,3,strong_rescue::block_id|prefix_pair|token_skeleton,1
34927,208117933,4.720178,3,strong_rescue::block_id|prefix_pair|token_skeleton,1
36705,207390673,4.716783,4,strong_rescue::block_id|field_presence|prefix_pair|token_skeleton,1
36033,203185276,4.70581,3,strong_rescue::block_id|long_pair|token_skeleton,1
38327,201692705,4.704904,3,strong_rescue::block_id|long_pair|token_skeleton,1
36102,203185276,4.698918,3,strong_rescue::block_id|long_pair|token_skeleton,1
35552,203870569,4.66682,3,strong_rescue::block_id|rare_token|token_skeleton,1
31397,203151779,4.661994,3,strong_rescue::block_id|rare_token|token_skeleton,1
34904,208504178,4.659384,3,strong_rescue::block_id|prefix_pair|token_skeleton,1
18970,204559210,4.646975,3,strong_rescue::block_id|rare_token|token_skeleton,1
18516,204559210,4.646343,3,strong_rescue::block_id|rare_token|token_skeleton,1
35175,208117919,4.641952,3,strong_rescue::block_id|rare_token|token_skeleton,1
32664,207390452,4.619438,3,strong_rescue::block_id|prefix_pair|token_skeleton,1
36023,90140498,4.618455,3,strong_rescue::block_id|rare_token|token_skeleton,1
33452,210399745,4.607021,4,strong_rescue::block_id|categorical_value|field_presence|rare_token,1
38784,90139261,4.604291,3,strong_rescue::block_id|digit_signature|field_presence,1
35018,207936135,4.599096,3,strong_rescue::block_id|rare_token|token_skeleton,1
31397,209002546,4.594691,3,strong_rescue::block_id|rare_token|token_skeleton,1
23519,207907535,4.588188,3,strong_rescue::block_id|rare_token|token_skeleton,1
33510,202813304,4.570932,3,strong_rescue::block_id|digit_signature|field_presence,1
36083,202472204,4.563871,3,strong_rescue::block_id|long_pair|rare_token,1
23519,210571462,4.562084,3,strong_rescue::block_id|rare_token|token_skeleton,1
33510,205835447,4.539023,3,strong_rescue::block_id|digit_signature|field_presence,1
24615,207645242,4.521495,3,strong_rescue::block_id|digit_signature|field_presence,1
32893,210441166,4.52042,3,strong_rescue::block_id|digit_signature|field_presence,1
33455,207464919,4.518874,3,strong_rescue::block_id|digit_signature|field_presence,1
33455,207464920,4.518874,3,strong_rescue::block_id|digit_signature|field_presence,1
33045,203514305,4.515728,3,strong_rescue::block_id|digit_signature|field_presence,1
17873,90145568,4.511717,3,strong_rescue::block_id|digit_signature|field_presence,1
17873,204736197,4.511474,3,strong_rescue::block_id|digit_signature|field_presence,1
34854,207391431,4.509284,3,strong_rescue::block_id|digit_signature|field_presence,1
22382,208504378,4.503603,3,strong_rescue::block_id|digit_signature|field_presence,1
7195,204740191,4.501448,3,strong_rescue::block_id|digit_signature|field_presence,1
34089,207391431,4.501447,3,strong_rescue::block_id|digit_signature|field_presence,1
19676,208504378,4.499277,3,strong_rescue::block_id|digit_signature|field_presence,1
36142,90105458,4.499168,3,strong_rescue::block_id|digit_signature|field_presence,1
36143,90105458,4.498916,3,strong_rescue::block_id|digit_signature|field_presence,1
22382,201953029,4.497245,3,strong_rescue::block_id|digit_signature|field_presence,1
31414,207900179,4.497066,3,strong_rescue::block_id|digit_signature|field_presence,1
31414,208294718,4.495837,3,strong_rescue::block_id|digit_signature|field_presence,1
30343,208085180,4.49386,3,strong_rescue::block_id|digit_signature|field_presence,1
25813,207679756,4.491132,3,strong_rescue::block_id|digit_signature|field_presence,1
38784,207660499,4.490835,3,strong_rescue::block_id|digit_signature|field_presence,1
25813,207927557,4.490508,3,strong_rescue::block_id|digit_signature|field_presence,1
31284,210399915,4.489075,3,strong_rescue::block_id|digit_signature|field_presence,1
25749,207660497,4.488233,3,strong_rescue::block_id|digit_signature|field_presence,1
19676,207506251,4.486484,3,strong_rescue::block_id|digit_signature|field_presence,1
36143,90049795,4.481641,3,strong_rescue::block_id|digit_signature|field_presence,1
31284,207388754,4.481506,3,strong_rescue::block_id|digit_signature|field_presence,1
38726,207686156,4.479211,3,strong_rescue::block_id|digit_signature|field_presence,1
38726,208294698,4.477306,3,strong_rescue::block_id|digit_signature|field_presence,1
4696,202434158,4.474251,3,strong_rescue::block_id|digit_signature|field_presence,1
35485,90145568,4.473318,3,strong_rescue::block_id|digit_signature|field_presence,1
35175,10412788,4.472454,3,strong_rescue::block_id|digit_signature|field_presence,1
22727,208294927,4.472048,3,strong_rescue::block_id|digit_signature|field_presence,1
36796,208226692,4.471533,3,strong_rescue::block_id|digit_signature|field_presence,1
36796,208226690,4.471501,3,strong_rescue::block_id|digit_signature|field_presence,1
34363,207390682,4.469883,3,strong_rescue::block_id|digit_signature|field_presence,1
27975,207899810,4.469524,3,strong_rescue::block_id|digit_signature|field_presence,1
8552,10363243,4.468681,3,strong_rescue::block_id|digit_signature|field_presence,1
34363,90106210,4.468053,3,strong_rescue::block_id|digit_signature|field_presence,1
33863,202827713,4.467143,3,strong_rescue::block_id|digit_signature|field_presence,1
33443,208171630,4.466943,3,strong_rescue::block_id|digit_signature|field_presence,1
33443,208171631,4.466943,3,strong_rescue::block_id|digit_signature|field_presence,1
36151,202635467,4.466577,3,strong_rescue::block_id|digit_signature|field_presence,1
29677,202070149,4.466279,3,strong_rescue::block_id|digit_signature|field_presence,1
32150,202973389,4.465116,3,strong_rescue::block_id|digit_signature|field_presence,1
36151,208504339,4.464806,3,strong_rescue::block_id|digit_signature|field_presence,1
31373,204549804,4.464694,3,strong_rescue::block_id|digit_signature|field_presence,1
22727,202026554,4.464203,3,strong_rescue::block_id|digit_signature|field_presence,1
7195,210256478,4.463784,3,strong_rescue::block_id|digit_signature|field_presence,1
13996,210441166,4.463183,3,strong_rescue::block_id|digit_signature|field_presence,1
9071,208270234,4.462913,3,strong_rescue::block_id|digit_signature|field_presence,1
31337,203022202,4.462788,3,strong_rescue::block_id|digit_signature|field_presence,1
35666,208112358,4.462385,3,strong_rescue::block_id|digit_signature|field_presence,1
4696,208504318,4.462272,3,strong_rescue::block_id|digit_signature|field_presence,1
38475,209310241,4.461861,3,strong_rescue::block_id|digit_signature|field_presence,1
29677,207390309,4.461588,3,strong_rescue::block_id|digit_signature|field_presence,1
30955,205809367,4.460303,3,strong_rescue::block_id|digit_signature|field_presence,1
24789,208085180,4.459743,3,strong_rescue::block_id|digit_signature|field_presence,1
33150,208791921,4.45936,3,strong_rescue::block_id|digit_signature|field_presence,1
9071,204937142,4.458807,3,strong_rescue::block_id|digit_signature|field_presence,1
33045,207534895,4.458774,3,strong_rescue::block_id|digit_signature|field_presence,1
20534,202070149,4.457465,3,strong_rescue::block_id|digit_signature|field_presence,1
24153,10246269,4.457359,3,strong_rescue::block_id|digit_signature|field_presence,1
32893,207390654,4.457216,3,strong_rescue::block_id|digit_signature|field_presence,1
33452,210251970,4.456985,3,strong_rescue::block_id|categorical_value|rare_token,1
27975,204080936,4.456355,3,strong_rescue::block_id|digit_signature|field_presence,1
