cluster_id,title,description,manufacturer,price,name
17,easy drums (jewel case),easy drums is an interactive guide that will show you everything you need to get started playing the drums. learn how to select the right drum set as well as basic techniques like how to hold the sticks and how to playdifferent beats and rolls. the lessons are specially designed withbeginners in mind. print out music to practice learn about drum history andfamous drummers and watch video instruction by an expert. interestingtrivia and a fun drum-related quiz rounds out this package.,arcmedia,9.99,easy drums
18,startopia,startopia takes gamers to a once-thriving galactic network of starships space stations and planets left lifeless with redundant scars of the apocalypse. you will lead the way in rebuilding the network of space stations that once served the commerce and communication of the old empire--reuniting the surviving alien peoples under one banner. startopia gives you the opportunity to rebuild and successfully maintain a series of giant torus (donut) space stations scattered across the galaxy. they will provide a suitable home for the many alien races that inhabit space and perhaps turn a tidy profit for you in the process. of course there are plenty of other enterprising individuals out there with the same goals not to mention there are many hazards that exist in deep space. a number of different life forms and organizations are developing competing stations and it will only be a matter of time before you'll need to confront your opponents. will you use economic or military means to force out your opponents? you decide. startopia features nine primary character races each with a unique look and function. each inhabitant is an individual character with unique moods desires personal histories and humorous character animations. it's a fully functioning alien society with racial animosity and friendships crime and punishment leisure and entertainment and a functioning economy. the unique torus play area gives a viewpoint never before seen in a game. the bio-deck has an editable landscape and a manageable ecosystem allowing you complete control of terraforming. multiplayer support for up to three other stationmasters and simple and intuitive command of security forces can conflict with other players or defend your station against alien threats.,eidos interactive,39.95,startopia
19,emedia blues guitar legends,learn how to play classic blues songs from the masters themselves with emedia's blues guitar legends. simplified chord versions of the songs are ideal for beginners while experienced players can learn note for note from the full transcriptions of both lead and rhythm parts. the animated fretboard shows you the fingerings in real time so that you don't need to read music. original recordings and variable-speed midi tracks let you learn at the tempo that you choose while looping lets you select and repeat tricky sections of a song. the software package comes with 10 original artist recordings including statesboro blues performed by the allman brothers band; smoking gun performed by robert cray; early in the morning performed by buddy guy with jeff beck and eric clapton; and the thrill is gone performed by b.b. king. full and simplified versions of each song help you to learn to play the song note for note. instructional material presents the chords and playing tips that are needed to master the song and helps you emulate the tone and technique of the blues guitar greats. watch the fretboard come alive with the animated fretboard a real-time display of notes including bends vibrato and slides. this includes both right- and left-handed views from the perspectives of looking both down at your guitar and across at an instructor's guitar. visually tune your electric or acoustic guitar by playing into a computer microphone. this automatic tuner also includes custom tunings for specific songs when needed and provides audio reference notes for each string. a metronome allows you to set your own tempo and work on your picking speed rhythm and timing. it provides a visual cue and/or audio tick and a full range of tempi--from largo to presto. one of the more useful features of blues guitar legends is the recorder which lets you record and play back your recording and allows you to compare your recordings with the originals fine-tune your skills and store musical ideas. this extensive package also offers insights into the lives of the legends with artist biographies and photographs. additionally emedia's blues guitar legends is an enhanced cd-rom and can be played on either an audio cd player or your computer.,emedia,29.94,emedia music corp emedia blues guitar legends
20,sega smash pack 2,enhance your game library with 7 classics in one collection! product information enhance your game library with seven must-own classics in one collection! smash pack 2 includes sonic2 flicky kid chameleon super hang-on shining force comix zond and vectorman 2. plus the sega smash pack 2 also includes the super addictive puzzle game segaswirl as an added bonus! features: 7 must-own classics for the pc in 1 exciting game collection sonic's back in sonic2; teach heady metal a lesson with kid chameleon flicky offers fun adventures; exhilarating motorcycle racing in super hang-on sword-fighting fantasy in shining force; escape comic-book world in comix zond defend against enemy 'bots in vectorman 2; bonus: puzzle-game sega swirl product title included enjoy these seven classic hits that never grow old. sonic the hedgehog 2 sonic is back and this time he is accompanied by his trusted pal tails to take on the forces of his evil arch nemesis dr robotnik flicky join the adventures of flicky a fun-loving little blue bird who drives cats everywhere crazy. in this arcade game where you are a bird and your goal is to save the chicks from the cats. super hang on a motorcycle racing game -- the flag is down and you're off to a series of the most exhilarating motorcycle racing you have ever experienced. kid chameleon a side scroller where you are a kid stuck in a video game. kid chameleon the coolest toughest kid in town gives heady metal and his gruesome underlings a taste of their own medicine. shining force a classic strategy rpg -- the legendary epic of mystical darkness is unleashed in this spellbinding sword fighting fantasy of dungeons and castles. comix zone play as sketch turner a street wise comic book artist who gets trapped in the comic book world of his own creation. vectorman 2 the sequel to the side scroller where you are a robot-type man and you shoot your e,activision,19.95,sega smash pack 2
21,watchguard license wg vpn upgrade from 4 to 10 (wg4110),watchguard vpn manager provides centralized management and monitoring tools for larger organizations with multiple fireboxes. this single application allows you graphically display the vpn tunnel status for all of your branch office and mobile user vpn tunnels and to change the security policy settings of your fireboxes and vpns with a simple point-and-click interface. centralized logging allows you to direct logs of network activity from all fireboxes to your central management location. single screen access to the livesecurity system's control center of management and monitoring tools lets you detect and quickly troubleshoot any problems with the tunnels. this centralized security and vpn management tool can be used with any combination of firebox ii fastvpn firebox ii plus firebox ii firebox soho and firebox telecommuter models. by clicking on a visualized tunnel you can access the tunnel properties for the vpns created between your headquarters firebox ii and any firebox telecommuter or firebox soho.,watchguard license,2098.55,wg4110 watchguard vpn manager - upgrade package - 10 nodes - cd - win - english
22,watchguard serverlock manager (100 servers),watchguard serverlock manager controls the integrity of servers across your enterprise. with a simple and elegant user interface watchguard serverlock manager is easy-to-use secure and powerful. with a click of the mouse you can configure security rules assign server groups and set server protection levels as you wish - at any level of detail you require. watchguard serverlock manager uses a combination of kernel-based pki a 239-bit elliptical curve cryptosystem (ecc) from certicom and triple des encryption so that instructions and communications from the management console cannot be intercepted.,watchguard technologies inc,14995.0,serverlock manager - 100 servers
23,cook'n cd recipe cards,150 printer-ready decorative 3x5 recipe cards. package includes a magnetic recipe card holder to protect the cards from spills and splatters and the cook`n favorites cd with 150 delicious recipes from five of our best selling products.,dvo enterprises,19.99,dvo enterprises inc. cookn cd recipe cards
24,punch! master landscape & home design,master landscape & home design offers nine programs on one easy-to-use interface to help you design home exterior and landscape projects. the suite includes an extensive sortable plantings library organized by nursery-standard zones. deck home exterior topography and other options add realism. new technology allows you to integrate your own photos of your home allowing you to walk or fly through your creation in 3-d.use the 3-d exterior home design program to view your home with thousands of subtle paint color choices or design walk-out basements and split-level designs with the slope tool. the clearview tool renders your design with a glass-house effect giving you a wire-frame perspective of your topography without your landscape plantings. a user-definable database helps you find the right plantings for your planting zone based on your search criteria. more than 2 000 selections of flowers shrubs trees ornamental grasses ground cover and more are featured. as you design the landscape estimator compiles planting information producing a report in an editable printable exportable spreadsheet format.design the perfect deck for your home plan with ultimate deck. multilevel or multistory decks with 3-d photorealistic textures stairs railings object placement and color capabilities give you the ability to design exactly the deck you want. deck wizards walk you through railings baluster options and more. users can also create objects from scratch or modify existing selections from a library. change colors fabrics patterns textures and more then use your creations to furnish your home plan.,punch! software,59.99,punch software 25100 - punch! master landscape & home design - architectural - 1 user(s) - pc
25,shapes,shapes challenges children to identify and create basic shapes. engaging activities games and animated rewards make this electronic workbook a great way to learn! system requirements: windows®: microsoft® windows® 95 98 or hi,school zone,9.99,school zone interactive shapes on track software
26,math 2,based on the school zone workbook series this program teaches critical math skills with interactive activities and fun games. proven curriculum audio guidance and clear examples help your child master addition subtraction multiplication place values and other skills. the program randomizes problems with each use providing endless activities. the engaging games provide a helpful break.,school zone,9.99,school zone interactive math 2 on track software
27,model web publisher 3.5.2 .,model web publisher 3.52 model web publisher for windows nt 95 98 version 3.52,computer associates international,835.99,computer associates mdlweb99000352 model web publisher 3.52
28,reader rabbit playtime for baby and toddler,explore colors shapes songs animals letters numbers and more with your baby or toddler. discover the happy and colorful world of reader rabbit--an enchanted land of fun and learning--with your child.,the learning company,19.99,reader rabbit playtime for baby & toddler
29,employee appraiser 5.0 deluxe mailer,- marketing information: get the complete managerandquot;s toolkit with employee appraiser deluxe 5.0. it makes writing performance reviews faster from start to finish while helping you be a better manager. with memos documents templates and libraries employee appraiser deluxe includes all of the tools necessary to coach performance and track progress. product information - software sub type: hr management - software name: employee appraiser 5.0 deluxe - complete product - features and benefits: new features: - import/export employee data - due date reminders - job-specific review templates - job coach - sample business objective library other features: - writing assistant - tune text - development coach - day-to-day notebook - ratings calculator - language scan - import company form - performance objectives documents - 120 job descriptions - employee recognition guides and samples - coaching memos - development plans - corrective action notices - language support: english - platform support: pc license information - license type: complete product - license quantity: 1 user miscellaneous - compatibility: - pc,global marketing,394.6,aust-0150-005 employee appraiser deluxe - ( v. 5.0 ) - complete package - 1 user - download -
30,microsoft data analyzer 2002,model- ms-cd87800wi vendor- microsoft corporation features- data analyzer microsoft data analyzer is an easy-to-use data analysis tool that offers an innovative graphical analysis interface enabling users to identify trends opportunities and potential issues quickly. microsoft data analyzer extends the business intelligence capabilities of microsoft office xp by adding rich visualization and analysis capabilities. data analyzers intuitive user interface complements the powerful analysis features provided by excel 2002 office web components and digital dashboards. designed to optimize the advanced features of microsoft sql server 2000 analysis services data analyzer is a valuable component of any organizations business intelligence strategy and a key player in the microsoft business intelligence platform. * data analyzer view easily display relationships across multiple dimensions such as customer region product and time in a single view. * color scale find business data anomalies with the dynamic and customizable color scale that automatically highlights anomalies for you. * export to excel the export to excel feature enables you to easily export your data into an excel workbook or pivottable report for further analysis. * grid view the grid view feature enables you to see the data behind the bars in its context. easily switch between bar grid and pie chart views to see your data from different perspectives. * export to powerpoint easily convert data into slides for professional presentations with the export to powerpoint feature. this feature creates a single powerpoint slide that includes a static view and a b,microsoft,179.0,microsoft ho2-00003 data analyzer 2002 - complete package - 1 user
31,train sim modeler design studio,with train sim modeler you can create 3d traincars boxcars and engines along with your own custom scenery! create train station stores hills and trees and more scenery set up a virtual cab so you can see from the train driver's view you'll have your own personal railroad cars running the rails in no time!,abacus,39.99,abacus train sim modeler
32,return to castle wolfenstein (mac),you are b.j. blazkowicz a highly decorated army ranger recruited into the office of secret actions (osa) tasked with escaping and then returning to castle wolfenstein in an attempt to thwart heinrich himmler's occult and genetic experiments. himmler believes himself to be a reincarnation of a 10th-century dark prince henry the fowler also known as heinrich. through genetic engineering and the harnessing of occult powers himmler hopes to raise an unstoppable army to level the allies once and for all.you must first escape from imprisonment in the castle to report the strange creatures and happenings in and around wolfenstein to the osa. your mission takes a drastic turn as you learn the depth of himmler's plans and what you must do to defeat the evil he has unleashed. your surroundings will be dangerous and hostile. the osa is currently tracking activities believed to be associated with himmler in locations throughout germany including villages overrun by the occult hidden crypts forests air bases secret weapons facilities and genetic labs.enter a highly immersive story line driven by realistic mission-based action gameplay believable ai and the quake iii engine. arm yourself with an arsenal of weapons including luger 9mm mauser 7.92mm mp-40 sp-5 sniper venom guns grenades rocket launchers and flamethrowers. the game also features a multiplayer mode pitting players in a team-based axis versus allies contest for frontline domination.,aspyr media,29.99,aspyr media inc return to castle wolfenstein
33,punch! professional home design platinum v10,punch! professional home design suite platinum is a special two-for-one package loaded with incredible capabilities. this updated home and landscape design software allows you the flexibility to integrate punch! powertools and much much more! version 10 gives you the power change your room colors with just one click! use accessories to easily add art and window treatments. also includes dormer & skylight tools supports fractions and now imports 3ds files. room wizard helps you get started fast -- just input your room dimensions and the rooms are created for you. keep your designs up-to-date with brand name content and punch! updater. your deck and landscaping designs come to life with photo-realistic 3d - complete with shadows - giving you a stunning true-to-life representation of your home design,punch! software,69.99,punch software professional home design platinum version 10
34,textbridge pro 11 5u license xp,textbridge pro 11 is the simple and fast way to convert paper into editable electronic documents saving time and increasing productivity. new ocr engines deliver the most accurate textbridge results ever--even on complex pages with graphics and tables. a completely redesigned user interface and a new text editor make processing and proofing faster and more intuitive. textbridge pro 11 features improved accuracy resulting from redesigned recognition engines which saves proofreading time and makes users more productive. as always direct ocr is a feature that allows users to move text directly into microsoft word and other word processing documents but now tables and graphics will be retained as if the document was processed in omnipage pro. the new wysiwyg text editor is intuitive and easier to operate. in addition color text and color backgrounds are now recognized for accurate retention of color documents. note: this is the 5-user version.,nuance communications inc.,79.99,scansoft textbridge pro v.11
35,reader rabbit learn to read phonics pre kindergarten,kids (ages 4 to 6) discover core learning skills in this delightful age-appropriate learning environment featuring reader rabbit and friends. the dreamship is trapped and by way of balloon town and pointy palace kids get to put on their jumping shoes and bounce through a range of activities to uncover reader rabbit's ship. explore eight fun activities full of adventure and discovery. along the way reader rabbit and friends guide kids through phonics matching rhyming math and more. reader rabbit kindergarten 2002 is part of the award-winning reader rabbit children's educational software series. learning activities include cocoon balloon patterns piggy plane math and bounceketball dunk 'n rhyme. kids also enjoy this title's fun music stories movies and characters while the program's progress reports let parents see just where their child is advancing and where they might need some help. so that you're never without reader rabbit reader rabbit kindergarten 2002 comes with the bonus cd-rom reader rabbit's dreamship tales. it's bursting with added activities videos tunes and more than 100 printable games and activities--a great way to keep the fun going after you've turned the computer off.,the learning company,9.99,reader rabbit learn to read with phonics! preschool & kindergarten
36,reel deal casino quest,traditional slots bonus game slots and multi-playvideo poker!product information reel deal casino quest brings the high-paced fastaction of a las vegas casino right to your pc.&nbsp; a wide variety of casinogames each crafted in gorgeous detail.&nbsp,phantom efx,19.99,reel deal casino quest (win 95 98 me 2000 xp)
37,season ticket football 2003,experience the power of football ownership! designed to stimulate and challenge your mind season ticket football is the winning touchdown of football simulation games. put yourself in the coach's shoes as you lead your team to victory. no matter ...,atari,19.99,season ticket football 2003
38,cluefinders 3rd grade adventures: mystery of mathra,exotic animals disappear. a world-famous scientist vanishes. something fishy is afoot! join the cluefinders on a clue-searching trek into the depths of the rain forest. from reading maps to building bridges every activity brings kids closer to unraveling this astounding mystery while mastering essential third grade skills. explore 30 interactive games and exercises designed for kids ages 7 to 9 and older. build more than 75 key third grade skills in math language science geography and problem solving. four levels of difficulty and a variety of tricky challenges keep cluefinders 3rd grade adventures 2002: mystery of mathra fun and fresh. detailed help features guide kids throughout and built-in progress reports help parents navigate their child's learning fun. in addition an all-new for 2002 bonus cd-rom doubles the mystery and clue-finding fun. in cluefinders: mystery mansion arcade our adventurers are lured into a spooky mansion by an ingenious mastermind and his four villainous henchmen. kids help the cluefinders escape by choosing the best cluefinder for each arcade-style hazard. speed through the ultimate deep-dish pizza skate park stay cool through the high-voltage circuit zone and much more.,the learning company,24.99,cluefinders 3rd grade adventures: mystery of mathra
39,emedia intermediate guitar method win/mac,emedia intermediate guitar method is an easy way to take your guitar playing beyond basic chords and melodies. new techniques are demonstrated in over 175 lessons with full-motion video sound and an animated fretboard. you'll learn to play solos like the ones eric clapton and jimi hendrix made famous using newly acquired skills such as hammer-ons pull-offs bends vibrato and slides. barre chords and different strumming styles are covered in the rhythm chapters and there's a fingerstyle chapter as well. you can choose to learn using either tablature or standard music notation. intervals scales and the basics of improvisation are also covered in this comprehensive volume. emedia intermediate guitar method includes an animated fretboard that displays the fingering for each song and exercise in real time and is adjustable to four different viewing angles. included are over 50 songs recorded in multitrack audio which makes learning and listening to hit songs exciting. also available is a variable-speed midi track option allowing students to practice any song or exercise at the tempo they choose. the new scale directory provides fingerings recordings and variable-speed midi for over 200 scales making practicing and learning new scales easy. additional features include a built-in automatic tuner digital metronome recorder and 1 000-chord dictionary with audio playback. intermediate guitar method features many hit songs by artists such as eric clapton jimi hendrix the steve miller band johnny cash and jim croce.,emedia,59.99,emedia eg04025 intermediate guitar method - complete package
40,i love the usa,uncover geo-facts and discover the people places and pastimes of all 50 u.s. states. track down clues from coast to coast to solve a social studies mystery. relive the rich history of the east coast. whoop it up in the midwest. explore the vast mountain ranges of the west coast. experience all this and much more with the award-winning social studies software program i love the usa. designed for ages 6 to 9 kids learn about the states as well as their capitals culture and history. raise the flag quizzes let kids test their knowledge as they go. the perfect children's title for travel in the u.s. kids identify states by shape visit landmarks view travel videos and track the weather throughout the u.s. animated map screens puzzles games and more than 500 pop-up geo-facts keep kids thinking. they can even win 30 stickers and earn special medals and certificates. plus kids can make their own state maps using the map feature which also lets them print their map as a post card or e-mail it to a friend.,global software publishing,9.99,global software a1055 i love the usa
41,national parks: enhanced scenery add-on for microsoft flight simulator 2002 & 2000,flight simulator can take you to any of them: whether it's the green hillsides of the appalachians the rugged slopes of the rocky mountains or the deep and winding canyons of the colorado river. and with the national parks enhanced scenery we ...,abacus,19.99,abacus national parks enhanced scenery
42,domino designer/developer v5.0,reference domino designer/developer r5 doc pack includes the following titles: application development with domino designer (intermediate-advanced) 536 pages it explains building applications creating databases using forms fields views folders navi,ibm software lotus shrinkwrap,95.0,ibm software lotus shrinkwrap ae7ntna
43,upg serverlock for solaris gold,watchguard technologies is pleased to offer you the gold livesecurity program. this premium program is designed to meet the aggressive support needs of companies that are heavily dependent upon the internet for web-based commerce or vpn tunnels. expanded hours of coverage industry-leading response times and direct access to the priority support team assure that you get quick around-the-clock remote support assistance when needed.,watchguard technologies inc,2279.02,wg7569 watchguard livesecurity service gold - watchguard serverlock for solaris technic
44,wasp bar code - wasp bar code labeler - complete package - 3 users - std - cd -,wasp fontware is a powerful bar code utility that seamlessly integrates truetype fonts with your favorite business software and database applications. wasp bar code fonts are compatible with all windows applications including the most common word processors and spreadsheets. easily create bar codes simply by using a font. generating bar codes has never been easier! wasp fontware professional+ package includes additional add-ins for word excel access and crystal reports.,wasp technologies,195.0,633808255022 wasp bar code fontware professional+ - complete package - 10 users - cd - win -
45,sonicwall gms standard edition 10 node license,today enterprises and service providers face increasing security challenges in their distributed networks from security and virus attacks to enforcing security policies. as a distributed network grows and branches into multiple subnetworks linked by the internet so does the complexity of managing security appliances security policies and updates. a single flaw in security implementation at any point in the network can expose the entire infrastructure allowing malicious access to important data and files with severe consequences. managing security for distributed networks on a site-by-site basis is time consuming expensive and unreliable putting a big strain on already limited resources. sonicwall global management system (sonicwall gms) standard edition enables distributed enterprises and service providers to manage thousands of sonicwall internet security appliances from a central location with a powerful flexible and intuitive application. sonicwall gms delivers a cost-effective global security management solution that reduces staffing requirements speeds up deployment and lowers the cost of managing security services. sonicwall gms gives administrators the integrated tools to manage all security policies and services throughout a large-scale multiple policy enterprise or service provider environment. administrators can easily configure sonicwall firewall settings deploy vpn to any user and add sonicwall upgrade and subscription services such as gateway anti-virus anti-spyware and intrusion prevention service complete anti-virus and content filtering service with the click of a button.,sonic systems inc.,62920.89,sonicwall gms 1000n-incremental lic upg
46,left behind: ilumina edition,this left behind plug-in to the ilumina software features interactive text from the mega-selling left behind book series. enhanced by audio and video clips along with author's notes on key features places and characters in each book. never before ...,tyndale house,29.99,ilumina expansion series: left behind on cd-rom
47,matchbox cross-town heroes,a fireworks factory is in flames. animals flee from the zoo. mischief and mayhem are popping up all over matchbox county. something must be done--and fast! in matchbox cross-town heroes kids take the wheel of their favorite matchbox vehicles and head into an intense interactive world filled with action and adventure. race to the rescue in six original matchbox vehicles including the fire crusher rescue net police suv airport fire pumper and more. interact with more than 50 different characters animals and creatures all with their own unique animations. complete an array of missions to earn hero awards unlock new vehicles and even earn one of three printable heroic certificates. plus if you're really good 12 bonus action games can be unlocked to extend the matchbox play.,thq,19.99,matchbox cross town heros
48,ultimate pinball (jewel case),includes 20 amazingly fun tables!product informationit's got flippers bumpers ramps and lightning fast balls that will putyour reflexes to the test.an ultra 3d environment and real-life physics will test even the best pinballplayer as you rack up points b,valusoft,9.99,ultimate pinball
49,cisco syst. minor release:requires existing ( cww-6.1-win-mr ),cisco systems cww-6.1-win-mr : usually ships in 24 hours : : ciscoworks for windows 6.,cisco systems - enterprise,213.09,cww-6.1-win-mr ciscoworks for windows - ( v. 6.1 ) - version upgrade package - 1 user - upgrade
50,tinyterm v4.x 5u windows terminal emulation (tt-5),- marketing information: tinyterm is a powerful terminal emulation software applications designed for the mixed-host enterprise. they connect windows users to host applications running on ibm unix linux dec hp and other enterprise-level servers. product information - software sub type: emulation - software name: tinyterm v.4.2x - complete product - features and benefits: provide scalable customized client access: - with tinyterm you can customize access depending on your companyandquot;s needs. you can provide just one user with access to your host or provide host access to your entire company. tinyterm can be installed on a per client basis or you can place the software on your intranet and users can download the software as needed. access your legacy host through a web-browser interface: - now you can use your desktop pc to access all your legacy data and applications. with tinyterm you can access your ibm and unix host data and applications through the convenience of a web-browser interface. tinyterm is pre-configured to work right out of the box without any modifications to your host or to your desktop keyboard. rely on superior terminal emulation and complete flexibility: - tinyterm accurately recreates basic terminal emulations including wyse 60 and 50; sco ansi; at386; dec vt320 220 100 52 and ibm 3151. automate functions with the included scripting language cscript: - tinyterm includes a powerful scripting language you,century software,705.21,century software tt-5 - century tinyterm v.4.2x - complete product - emulation - 5 user(s) - complete product - standard - pc
51,punch! home design architectural series 4000 v10,the big story is flexibility and ease of use. architectural series 18 provides innovative new tools to unleash your design creativity. explore new tools for creating complex objects from simple ones presentation tools for final prints and even special tools for easily changing the design in 3d. novice or pro architectural series 18 is easy to use! a single easy-to-use interface puts powerful tools at your fingertips; you can use as many or a few as you choose and still get professional results. beginners will appreciate the video tooltips tutorials that teach you as you draw and simple drag & drop functions for windows doors furniture texture color and landscaping. professionals will appreciate the more complex features such as extensive framing and estimating mechanical design and cad functions to name a few. architectural series 18 was designed to grow with you as you become more proficient with the program. regardless of your expertise architectural series 18 makes home design an enjoyable experience.,punch! software,129.99,punch software 41100 - punch! home design architectural series 18 - complete product - architectural - 1 user(s) - complete product - standard - english - pc
